"SKU","Product","Category","Stock","Reorder Level","Cost Price","Selling Price","Stock Value","Potential Sales Value","Status"
"JACK-6-TONS","6 Tons Jack","Tools & Workshop","2","5","0","0","0","0","Low Stock"
"BRAKE-FLUID-NOVAS","Brake Fluid Novas","Fluids & Engine Care","12","5","0","0","0","0","In Stock"
"BRAKE-FLUID-SHELL-20W50","Brake Fluid Shell 20W 50","Fluids & Engine Care","11","5","0","0","0","0","In Stock"
"BRAKE-FLUID-TOYOTA","Brake Fluid Toyota","Fluids & Engine Care","12","5","0","0","0","0","In Stock"
"CARB-CLEANER-285ML","Carb Cleaner 285ml","Fluids & Engine Care","5","5","0","14500","0","72500","Low Stock"
"CASCAT-MAKER","Cascat Maker","Hardware & Consumables","13","5","0","0","0","0","In Stock"
"CASTROL-2T","Castrol 2T","Oils & Lubricants","4","5","0","0","0","0","Low Stock"
"CASTROL-80W90-500ML","Castrol 80W90 (500ml)","Oils & Lubricants","6","5","0","0","0","0","In Stock"
"CASTROL-ATF","Castrol ATF","Oils & Lubricants","5","5","0","0","0","0","Low Stock"
"CASTROL-GREASE","Castrol Grease","Oils & Lubricants","6","5","0","0","0","0","In Stock"
"CASTROL-GTX-15W","Castrol Oil GTX 15W","Oils & Lubricants","17","5","0","0","0","0","In Stock"
"CASTROL-GTX-20W","Castrol Oil GTX 20W","Oils & Lubricants","7","5","0","0","0","0","In Stock"
"COOLANT-MIDAS","Coolant Midas","Fluids & Engine Care","22","5","0","0","0","0","In Stock"
"DIESEL-TREATMENT","Diesel Treatment","Fluids & Engine Care","3","5","0","27500","0","82500","Low Stock"
"ENGINE-FLASH","Engine Flash","Fluids & Engine Care","23","5","0","0","0","0","In Stock"
"FILTERS-GENERAL","Filters","Filters","29","5","0","0","0","0","In Stock"
"GUNGUM","GunGum","Hardware & Consumables","8","5","0","10000","0","80000","In Stock"
"LEATHER-CARE-400ML","Leather Care 400ml","Car Care","3","5","0","0","0","0","Low Stock"
"PRATLY-QUICKSET-CLEAR","Pratly Quickset Clear","Hardware & Consumables","5","5","0","0","0","0","Low Stock"
"Q-BOND","Q Bond","Hardware & Consumables","6","5","0","12500","0","75000","In Stock"
"Q20-BOND-BLUE-DEVIL","Q20 Bond Blue Devil","Hardware & Consumables","3","5","0","11500","0","34500","Low Stock"
"Q20-LUBRICANT-300G","Q20 Lubricant 300g","Oils & Lubricants","6","5","0","0","0","0","In Stock"
"Q20-LUBRICANT-360G","Q20 Lubricant 360g","Oils & Lubricants","3","5","0","0","0","0","Low Stock"
"Q8","Q8","Oils & Lubricants","24","5","0","0","0","0","In Stock"
"RADIATOR-FLASH","Radiator Flash","Fluids & Engine Care","24","5","0","11500","0","276000","In Stock"
"RATCHET-TIE","Ratchet Tie","Tools & Workshop","4","5","0","65000","0","260000","Low Stock"
"REINZOSIL","Reinzosil","Hardware & Consumables","6","5","0","0","0","0","In Stock"
"SAFETY-BOOTS","Safety Boots (all)","Safety & Workwear","25","5","0","0","0","0","In Stock"
"SCISSOR-JACK","Scissor Jack","Tools & Workshop","1","5","0","0","0","0","Low Stock"
"SHEEN-200ML","Sheen 200ml","Car Care","8","5","0","0","0","0","In Stock"
"SHEEN-300ML","Sheen 300ml","Car Care","1","5","0","0","0","0","Low Stock"
"SHEEN-750ML","Sheen 750ml","Car Care","12","5","0","0","0","0","In Stock"
"SILICONE-260ML","Silicone 260ml","Hardware & Consumables","28","5","0","95000","0","2660000","In Stock"
"SILICONE-WINDOWS-300ML","Silicone Windows 300ml","Hardware & Consumables","7","5","0","0","0","0","In Stock"
"SPARK-PLUG-WRENCHES","Spark Plug Wrenches","Tools & Workshop","7","5","0","12000","0","84000","In Stock"
"SPRAY-PAINT-GLUEDEVIL","Spray Paint GlueDevil","Hardware & Consumables","46","5","0","0","0","0","In Stock"
"START-UP-350ML","Start Up 350ml","Fluids & Engine Care","9","5","0","18000","0","162000","In Stock"
"TEST-001","Test Product","Car Care","10","5","10000","15000","100000","150000","In Stock"
"TOOLBOX-TORK-CRAFT","Toolbox (Tork Craft)","Tools & Workshop","2","5","0","0","0","0","Low Stock"
"SAFETY-TRIANGLES","Triangles","Safety & Workwear","7","5","0","0","0","0","In Stock"
"WASH-WAX-2L","Wash Wax 2L","Car Care","3","5","0","0","0","0","Low Stock"
"WASH-WAX-5L","Wash Wax 5L","Car Care","3","5","0","0","0","0","Low Stock"
"WIPERS-BOSCH","Wipers Bosch","Electrical & Auto Parts","14","5","0","0","0","0","In Stock"
"WORK-SUITS","Work Suits","Safety & Workwear","46","5","0","0","0","0","In Stock"
